professional_key,nconst,name,multiple_profession_key,birthyear,deathyear
60267550,nm0000470,Jeffrey Jones,361,1946,
60267551,nm0000471,Raul Julia,1137,1940,1994
60267552,nm0000472,Boris Karloff,1137,1887,1969
60267553,nm0000473,Diane Keaton,249,1946,
60267554,nm0000474,Michael Keaton,1108,1951,
60267555,nm0000475,Patsy Kensit,522,1968,
60267556,nm0000476,Sally Kirkland,462,1941,
60267557,nm0000477,Mia Kirshner,27,1975,
60267558,nm0000478,Tawny Kitaen,733,1961,2021
60267559,nm0000479,Walter Koenig,1361,1936,
60267560,nm0000480,Elias Koteas,38,1961,
60267561,nm0000481,Alice Krige,620,1954,
60267562,nm0000482,Sylvia Kristel,598,1952,2012
60267563,nm0000483,Christopher Lambert,1361,1957,
60267564,nm0000484,John Landis,514,1950,
60267565,nm0000485,Fritz Lang,51,1890,1976
60267566,nm0000486,Heather Langenkamp,359,1964,
60267567,nm0000487,Ang Lee,51,1954,
60267568,nm0000488,Brandon Lee,1140,1965,1993
60267569,nm0000489,Christopher Lee,361,1922,2015
60267570,nm0000490,Spike Lee,51,1957,
60267571,nm0000491,John Leguizamo,1361,1960,
60267572,nm0000492,Jennifer Jason Leigh,1237,1962,
60267573,nm0000493,Jack Lemmon,961,1925,2001
60267574,nm0000494,Robert Sean Leonard,1137,1969,
60267575,nm0000495,Téa Leoni,1237,1966,
60267576,nm0000496,Juliette Lewis,598,1973,
60267577,nm0000497,Jennifer Lien,473,1974,
60267578,nm0000498,Matthew Lillard,961,1970,
60267579,nm0000499,Bai Ling,620,,
60267580,nm0000500,Richard Linklater,51,1960,
60267581,nm0000501,Ray Liotta,961,1954,2022
60267582,nm0000502,Christopher Lloyd,961,1938,
60267583,nm0000503,Emily Lloyd,27,1970,
60267584,nm0000504,Amy Locane,2,1971,
60267585,nm0000505,Nia Long,1237,1970,
60267586,nm0000506,Julia Louis-Dreyfus,1237,1961,
60267587,nm0000507,Rob Lowe,961,1964,
60267588,nm0000508,Carey Lowell,27,1961,
60267589,nm0000509,Bela Lugosi,1304,1882,1956
60267590,nm0000510,Andie MacDowell,1237,1958,
60267591,nm0000511,Shirley MacLaine,678,1934,
60267592,nm0000512,Elle Macpherson,733,1964,
60267593,nm0000513,William H. Macy,1195,1950,
60267594,nm0000514,Michael Madsen,1361,1957,
60267595,nm0000515,Virginia Madsen,1237,1961,
60267596,nm0000516,Lee Majors,1008,1939,
60267597,nm0000517,Terrence Malick,51,1943,
60267598,nm0000518,John Malkovich,1361,1953,
60267599,nm0000519,David Mamet,51,1947,
60267600,nm0000520,Michael Mann,51,1943,
60267601,nm0000521,Sophie Marceau,449,1966,
60267602,nm0000522,Vanessa Marcil,27,1968,
60267603,nm0000523,Julianna Margulies,1237,1966,
60267604,nm0000524,Mary Stuart Masterson,249,1966,
60267605,nm0000525,Heather Matarazzo,249,1982,
60267606,nm0000526,Samantha Mathis,1336,1970,
60267607,nm0000527,Walter Matthau,169,1920,2000
60267608,nm0000528,Mathilda May,989,1965,
60267609,nm0000529,Debi Mazar,127,1964,
60267610,nm0000530,Andrew McCarthy,514,1962,
60267611,nm0000531,Frances McDormand,1237,1957,
60267612,nm0000532,Malcolm McDowell,961,1943,
60267613,nm0000533,Gates McFadden,462,1949,
60267614,nm0000534,Kelly McGillis,1237,1957,
60267615,nm0000535,Rose McGowan,1237,1973,
60267616,nm0000536,Robert Duncan McNeill,514,1964,
60267617,nm0000537,Steve McQueen,222,1930,1980
60267618,nm0000538,Colm Meaney,961,1953,
60267619,nm0000539,Dina Meyer,733,1968,
60267620,nm0000540,Russ Meyer,697,1922,2004
60267621,nm0000541,Bette Midler,1237,1945,
60267622,nm0000542,Penelope Ann Miller,2,1964,
60267623,nm0000543,Sal Mineo,1169,1939,1976
60267624,nm0000544,Carmen Miranda,989,1909,1955
60267625,nm0000545,Helen Mirren,249,1945,
60267626,nm0000546,Matthew Modine,514,1959,
60267627,nm0000547,Alfred Molina,961,1953,
60267628,nm0000548,Elizabeth Montgomery,989,1933,1995
