time_key,time_value,hours_24,hours_12,hour_minutes,day_minutes,seconds
34600,03:46:00,03,03,46,226,00
34700,03:47:00,03,03,47,227,00
34800,03:48:00,03,03,48,228,00
34900,03:49:00,03,03,49,229,00
35000,03:50:00,03,03,50,230,00
35100,03:51:00,03,03,51,231,00
35200,03:52:00,03,03,52,232,00
35300,03:53:00,03,03,53,233,00
35400,03:54:00,03,03,54,234,00
35500,03:55:00,03,03,55,235,00
35600,03:56:00,03,03,56,236,00
35700,03:57:00,03,03,57,237,00
35800,03:58:00,03,03,58,238,00
35900,03:59:00,03,03,59,239,00
40000,04:00:00,04,04,00,240,00
40100,04:01:00,04,04,01,241,00
40200,04:02:00,04,04,02,242,00
40300,04:03:00,04,04,03,243,00
40400,04:04:00,04,04,04,244,00
40500,04:05:00,04,04,05,245,00
40600,04:06:00,04,04,06,246,00
40700,04:07:00,04,04,07,247,00
40800,04:08:00,04,04,08,248,00
40900,04:09:00,04,04,09,249,00
41000,04:10:00,04,04,10,250,00
41100,04:11:00,04,04,11,251,00
41200,04:12:00,04,04,12,252,00
41300,04:13:00,04,04,13,253,00
41400,04:14:00,04,04,14,254,00
41500,04:15:00,04,04,15,255,00
41600,04:16:00,04,04,16,256,00
41700,04:17:00,04,04,17,257,00
41800,04:18:00,04,04,18,258,00
41900,04:19:00,04,04,19,259,00
42000,04:20:00,04,04,20,260,00
42100,04:21:00,04,04,21,261,00
42200,04:22:00,04,04,22,262,00
42300,04:23:00,04,04,23,263,00
42400,04:24:00,04,04,24,264,00
42500,04:25:00,04,04,25,265,00
42600,04:26:00,04,04,26,266,00
42700,04:27:00,04,04,27,267,00
42800,04:28:00,04,04,28,268,00
42900,04:29:00,04,04,29,269,00
43000,04:30:00,04,04,30,270,00
43100,04:31:00,04,04,31,271,00
43200,04:32:00,04,04,32,272,00
43300,04:33:00,04,04,33,273,00
43400,04:34:00,04,04,34,274,00
43500,04:35:00,04,04,35,275,00
43600,04:36:00,04,04,36,276,00
43700,04:37:00,04,04,37,277,00
43800,04:38:00,04,04,38,278,00
43900,04:39:00,04,04,39,279,00
44000,04:40:00,04,04,40,280,00
44100,04:41:00,04,04,41,281,00
44200,04:42:00,04,04,42,282,00
44300,04:43:00,04,04,43,283,00
44400,04:44:00,04,04,44,284,00
44500,04:45:00,04,04,45,285,00
44600,04:46:00,04,04,46,286,00
44700,04:47:00,04,04,47,287,00
44800,04:48:00,04,04,48,288,00
44900,04:49:00,04,04,49,289,00
45000,04:50:00,04,04,50,290,00
45100,04:51:00,04,04,51,291,00
45200,04:52:00,04,04,52,292,00
45300,04:53:00,04,04,53,293,00
45400,04:54:00,04,04,54,294,00
45500,04:55:00,04,04,55,295,00
45600,04:56:00,04,04,56,296,00
45700,04:57:00,04,04,57,297,00
45800,04:58:00,04,04,58,298,00
45900,04:59:00,04,04,59,299,00
50000,05:00:00,05,05,00,300,00
50100,05:01:00,05,05,01,301,00
50200,05:02:00,05,05,02,302,00
50300,05:03:00,05,05,03,303,00
50400,05:04:00,05,05,04,304,00
50500,05:05:00,05,05,05,305,00
50600,05:06:00,05,05,06,306,00
50700,05:07:00,05,05,07,307,00
50800,05:08:00,05,05,08,308,00
50900,05:09:00,05,05,09,309,00
51000,05:10:00,05,05,10,310,00
51100,05:11:00,05,05,11,311,00
51200,05:12:00,05,05,12,312,00
51300,05:13:00,05,05,13,313,00
51400,05:14:00,05,05,14,314,00
51500,05:15:00,05,05,15,315,00
51600,05:16:00,05,05,16,316,00
51700,05:17:00,05,05,17,317,00
51800,05:18:00,05,05,18,318,00
51900,05:19:00,05,05,19,319,00
52000,05:20:00,05,05,20,320,00
52100,05:21:00,05,05,21,321,00
52200,05:22:00,05,05,22,322,00
52300,05:23:00,05,05,23,323,00
52400,05:24:00,05,05,24,324,00
52500,05:25:00,05,05,25,325,00
52600,05:26:00,05,05,26,326,00
52700,05:27:00,05,05,27,327,00
52800,05:28:00,05,05,28,328,00
52900,05:29:00,05,05,29,329,00
53000,05:30:00,05,05,30,330,00
53100,05:31:00,05,05,31,331,00
53200,05:32:00,05,05,32,332,00
53300,05:33:00,05,05,33,333,00
53400,05:34:00,05,05,34,334,00
53500,05:35:00,05,05,35,335,00
53600,05:36:00,05,05,36,336,00
53700,05:37:00,05,05,37,337,00
53800,05:38:00,05,05,38,338,00
53900,05:39:00,05,05,39,339,00
54000,05:40:00,05,05,40,340,00
54100,05:41:00,05,05,41,341,00
54200,05:42:00,05,05,42,342,00
54300,05:43:00,05,05,43,343,00
54400,05:44:00,05,05,44,344,00
54500,05:45:00,05,05,45,345,00
54600,05:46:00,05,05,46,346,00
54700,05:47:00,05,05,47,347,00
54800,05:48:00,05,05,48,348,00
54900,05:49:00,05,05,49,349,00
55000,05:50:00,05,05,50,350,00
55100,05:51:00,05,05,51,351,00
55200,05:52:00,05,05,52,352,00
55300,05:53:00,05,05,53,353,00
55400,05:54:00,05,05,54,354,00
55500,05:55:00,05,05,55,355,00
55600,05:56:00,05,05,56,356,00
55700,05:57:00,05,05,57,357,00
55800,05:58:00,05,05,58,358,00
55900,05:59:00,05,05,59,359,00
60000,06:00:00,06,06,00,360,00
60100,06:01:00,06,06,01,361,00
60200,06:02:00,06,06,02,362,00
60300,06:03:00,06,06,03,363,00
60400,06:04:00,06,06,04,364,00
60500,06:05:00,06,06,05,365,00
60600,06:06:00,06,06,06,366,00
60700,06:07:00,06,06,07,367,00
60800,06:08:00,06,06,08,368,00
60900,06:09:00,06,06,09,369,00
61000,06:10:00,06,06,10,370,00
61100,06:11:00,06,06,11,371,00
61200,06:12:00,06,06,12,372,00
61300,06:13:00,06,06,13,373,00
61400,06:14:00,06,06,14,374,00
61500,06:15:00,06,06,15,375,00
61600,06:16:00,06,06,16,376,00
61700,06:17:00,06,06,17,377,00
61800,06:18:00,06,06,18,378,00
61900,06:19:00,06,06,19,379,00
62000,06:20:00,06,06,20,380,00
62100,06:21:00,06,06,21,381,00
62200,06:22:00,06,06,22,382,00
62300,06:23:00,06,06,23,383,00
62400,06:24:00,06,06,24,384,00
62500,06:25:00,06,06,25,385,00
62600,06:26:00,06,06,26,386,00
62700,06:27:00,06,06,27,387,00
62800,06:28:00,06,06,28,388,00
62900,06:29:00,06,06,29,389,00
63000,06:30:00,06,06,30,390,00
63100,06:31:00,06,06,31,391,00
63200,06:32:00,06,06,32,392,00
63300,06:33:00,06,06,33,393,00
63400,06:34:00,06,06,34,394,00
63500,06:35:00,06,06,35,395,00
63600,06:36:00,06,06,36,396,00
63700,06:37:00,06,06,37,397,00
63800,06:38:00,06,06,38,398,00
63900,06:39:00,06,06,39,399,00
64000,06:40:00,06,06,40,400,00
64100,06:41:00,06,06,41,401,00
64200,06:42:00,06,06,42,402,00
64300,06:43:00,06,06,43,403,00
64400,06:44:00,06,06,44,404,00
64500,06:45:00,06,06,45,405,00
64600,06:46:00,06,06,46,406,00
64700,06:47:00,06,06,47,407,00
64800,06:48:00,06,06,48,408,00
64900,06:49:00,06,06,49,409,00
65000,06:50:00,06,06,50,410,00
65100,06:51:00,06,06,51,411,00
65200,06:52:00,06,06,52,412,00
65300,06:53:00,06,06,53,413,00
65400,06:54:00,06,06,54,414,00
65500,06:55:00,06,06,55,415,00
65600,06:56:00,06,06,56,416,00
65700,06:57:00,06,06,57,417,00
65800,06:58:00,06,06,58,418,00
65900,06:59:00,06,06,59,419,00
70000,07:00:00,07,07,00,420,00
70100,07:01:00,07,07,01,421,00
70200,07:02:00,07,07,02,422,00
70300,07:03:00,07,07,03,423,00
70400,07:04:00,07,07,04,424,00
70500,07:05:00,07,07,05,425,00
70600,07:06:00,07,07,06,426,00
70700,07:07:00,07,07,07,427,00
70800,07:08:00,07,07,08,428,00
70900,07:09:00,07,07,09,429,00
71000,07:10:00,07,07,10,430,00
71100,07:11:00,07,07,11,431,00
71200,07:12:00,07,07,12,432,00
71300,07:13:00,07,07,13,433,00
71400,07:14:00,07,07,14,434,00
71500,07:15:00,07,07,15,435,00
71600,07:16:00,07,07,16,436,00
71700,07:17:00,07,07,17,437,00
71800,07:18:00,07,07,18,438,00
71900,07:19:00,07,07,19,439,00
72000,07:20:00,07,07,20,440,00
72100,07:21:00,07,07,21,441,00
72200,07:22:00,07,07,22,442,00
72300,07:23:00,07,07,23,443,00
72400,07:24:00,07,07,24,444,00
72500,07:25:00,07,07,25,445,00
72600,07:26:00,07,07,26,446,00
72700,07:27:00,07,07,27,447,00
72800,07:28:00,07,07,28,448,00
72900,07:29:00,07,07,29,449,00
73000,07:30:00,07,07,30,450,00
73100,07:31:00,07,07,31,451,00
73200,07:32:00,07,07,32,452,00
73300,07:33:00,07,07,33,453,00
73400,07:34:00,07,07,34,454,00
73500,07:35:00,07,07,35,455,00
73600,07:36:00,07,07,36,456,00
73700,07:37:00,07,07,37,457,00
73800,07:38:00,07,07,38,458,00
73900,07:39:00,07,07,39,459,00
74000,07:40:00,07,07,40,460,00
74100,07:41:00,07,07,41,461,00
74200,07:42:00,07,07,42,462,00
74300,07:43:00,07,07,43,463,00
74400,07:44:00,07,07,44,464,00
74500,07:45:00,07,07,45,465,00
74600,07:46:00,07,07,46,466,00
74700,07:47:00,07,07,47,467,00
74800,07:48:00,07,07,48,468,00
74900,07:49:00,07,07,49,469,00
75000,07:50:00,07,07,50,470,00
75100,07:51:00,07,07,51,471,00
75200,07:52:00,07,07,52,472,00
75300,07:53:00,07,07,53,473,00
75400,07:54:00,07,07,54,474,00
