movie_key,title,movieid,tconst,multiple_concatenate_genre_key,multiple_concatenate_professional_key,releasedate,averagerating,num_votes
39294,An Arabian Knight,,tt0010965,87152,2812,1920,5,35
39770,Missing Husbands,,tt0010969,87066,2961,1921,7,424
39700,Dinty,,tt0011117,86511,2349,1920,7,103
39355,Down on the Farm,,tt0011128,86648,2746,1920,6,146
39518,Dr. Jekyll and Mr. Hyde,,tt0011131,86742,2906,1920,5,185
40096,Los enmascarados de Mazatlán,,tt0011154,87641,2849,1920,5,18
40069,Fantomas,,tt0011174,86779,2231,1920,7,31
39547,Gyurkovicsarna,,tt0011256,86648,2396,1920,5,31
39806,Help Wanted - Male,,tt0011281,86648,3291,1920,3,15
39934,The Swallow and the Titmouse,,tt0011294,86664,2993,1924,7,239
39884,"Love, Honor and Behave!",,tt0011419,86648,2746,1920,5,17
39152,The Monster of Frankenstein,,tt0011481,87890,2523,1921,6,43
40074,Mästerman,,tt0011499,86664,2218,1920,8,130
39197,An Old Fashioned Boy,,tt0011530,86323,2465,1920,7,30
39534,The Parson's Widow,,tt0011607,87701,2250,1920,7,1492
39251,Quatre-vingt-treize,,tt0011612,87994,2245,1921,6,41
39488,Shipwrecked Among Cannibals,,tt0011687,87024,3047,1920,7,12
40190,Wuthering Heights,,tt0011886,86664,2498,1920,7,28
39681,Yes or No,,tt0011890,87574,2231,1920,6,34
39343,Alf's Button,,tt0011914,86790,3114,1920,7,16
39558,The Avenging Arrow,,tt0011939,87191,2923,1921,4,26
39369,The Beggar Maid,,tt0011956,87952,2537,1921,5,25
39728,Big Town Ideas,,tt0011969,86648,3287,1921,7,13
40152,Brewster's Millions,,tt0011998,86648,2324,1921,7,49
39861,Cappy Ricks,,tt0012028,87047,3015,1921,2,16
39630,The Conquest of Canaan,,tt0012069,86664,2346,1921,4,21
39204,Ducks and Drakes,,tt0012125,86323,2186,1921,6,136
39756,Felix,,tt0012159,87574,3140,1921,5,20
39855,God's Gold,,tt0012226,87641,3289,1921,6,23
39269,Hamlet,,tt0012249,86664,2545,1921,7,517
39782,Johan,,tt0012334,86664,2325,1921,7,273
39452,Jomfru Trofast,,tt0012337,87574,3140,1921,7,9
39785,Kid Speed,,tt0012347,86998,2402,1924,6,260
39297,Leap Year,,tt0012382,86648,2587,1924,6,358
39265,The Love Special,,tt0012410,87641,2258,1921,7,19
40083,The Murder of General Gryaznov,,tt0012484,86710,3023,1921,6,67
39262,Parisette,,tt0012548,86664,2845,1921,6,24
39590,Passion Flower,,tt0012555,86664,3259,1921,7,18
40014,Der Richter von Zalamea,,tt0012622,87047,3135,1920,5,23
40104,La terre,,tt0012745,86664,2993,1921,7,178
39823,That Girl Montana,,tt0012747,87511,3291,1921,7,20
39480,The Torrent,,tt0012772,86779,2455,1921,2,17
39678,Uncharted Seas,,tt0012788,87574,2645,1921,7,20
39523,Adam and Eva,,tt0012879,86648,2631,1923,8,52
39917,Alma rifeña,,tt0012890,87047,3296,1922,7,14
39888,Anderssonskans Kalle,,tt0012894,87998,2370,1922,5,23
39746,Carceleras,,tt0012999,86664,3102,1922,5,12
39292,Don Juan Tenorio,,tt0013078,86664,2538,1922,6,25
39784,Down to the Sea in Ships,,tt0013085,87494,3225,1922,6,393
39687,Fox Farm,,tt0013151,87574,2871,1922,6,30
39954,Hope,,tt0013250,87952,2537,1922,5,18
40144,Hurricane's Gal,,tt0013255,86779,2354,1922,5,16
40194,The Kentucky Derby,,tt0013288,87220,3022,1922,5,36
39812,Nathan der Weise,,tt0013428,87994,3073,1922,7,151
39213,Oliver Twist,,tt0013450,86664,2196,1922,7,929
39747,The House Surrounded,,tt0013452,86664,2506,1922,8,51
39907,On the High Seas,,tt0013455,87191,2258,1922,7,23
40020,Polikushka,,tt0013501,86664,2415,1922,7,78
40011,The Rapids,,tt0013534,87053,2509,1922,4,27
39610,Red Hot Romance,,tt0013540,86648,2758,1922,4,37
39893,Rounding Up the Law,,tt0013562,87511,2599,1922,5,13
39422,The Seventh Day,,tt0013590,87574,2980,1922,7,141
40197,Smilin' Through,,tt0013611,86664,2707,1922,7,106
40142,The Third Alarm,,tt0013668,86664,2860,1923,7,39
39615,Tillie,,tt0013679,86664,3196,1922,7,17
39995,Turn to the Right,,tt0013716,87372,2274,1922,7,22
39537,The Valley of Silent Men,,tt0013727,87434,2438,1922,7,47
39776,When Knighthood Was in Flower,,tt0013750,87574,2515,1922,7,1132
39911,White Eagle,,tt0013759,87109,2923,1922,4,20
40158,All the Brothers Were Valiant,,tt0013824,87494,3302,1923,7,32
39882,Alma de Dios,,tt0013827,87738,2957,1923,5,15
39227,Bluebeard's 8th Wife,,tt0013877,86323,2261,1923,7,32
40116,Boman på utställningen,,tt0013879,86664,3005,1923,7,16
39779,The Bright Shawl,,tt0013892,87047,2793,1923,6,59
39928,Die Buddenbrooks,,tt0013901,86664,2704,1923,6,25
39486,Cupid's Fireman,,tt0013961,87641,2748,1923,5,37
39450,Curro Vargas,,tt0013962,86664,2769,1923,6,18
